,Nombres_de_pieces,nbrdeb,superficie,addresse
0,4,3,1000,"Thies, Sénégal"
1,7,3,170,"Mbao, Dakar, Sénégal"
2,8,3,130,"Hann Bel-Air, Dakar, Sénégal"
3,14,4,160,"HLM, Dakar, Sénégal"
4,4,4,150,"Mamelles, Dakar, Sénégal"
5,15,4,130,"Yoff, Dakar, Sénégal"
6,9,5,150,"Mbao, Dakar, Sénégal"
7,5,2,300,"Mbour, Sénégal"
8,4,2,193,"Dakar, Sénégal"
10,4,2,150,"Rufisque, Sénégal"
11,10,5,350,"Rufisque, Sénégal"
14,6,7,500,"Mermoz-Sacré Coeur, Dakar, Sénégal"
15,4,2,150,"Dakar, Sénégal"
17,5,3,122,"Sicap-Liberté, Dakar, Sénégal"
18,4,1,150,"Keur Massar, Sénégal"
20,25,10,1000,"Mermoz-Sacré Coeur, Dakar, Sénégal"
21,6,5,400,"Dakar, Sénégal"
22,6,4,150,"Rufisque, Sénégal"
23,4,5,200,"Mamelles, Dakar, Sénégal"
26,7,5,519,"Point E, Dakar, Sénégal"
27,5,6,600,"Mbour, Sénégal"
30,8,8,250,"Dakar, Sénégal"
32,6,6,257,"Almadies, Dakar, Sénégal"
36,3,4,200,"Sicap Liberté, Dakar, Sénégal"
39,5,4,600,"Mbour, Sénégal"
40,12,5,800,"Toubab Dialao, Sénégal"
41,5,3,460,"Saly, Sénégal"
42,4,3,150,"Sicap Liberté, Dakar, Sénégal"
43,7,3,150,"Yoff, Dakar, Sénégal"
44,4,2,150,"Mbao, Dakar, Sénégal"
46,8,3,223,"Dakar, Sénégal"
47,14,4,150,"Grand Dakar, Dakar, Sénégal"
48,4,3,200,"Sicap Liberté, Dakar, Sénégal"
49,4,3,150,"Dakar, Sénégal"
50,4,2,183,"Dakar, Sénégal"
53,5,2,150,"Dakar, Sénégal"
54,8,6,200,"Dakar-Plateau, Dakar, Sénégal"
55,2,1,150,"Rufisque, Sénégal"
58,4,4,300,"Saly, Sénégal"
60,4,4,300,"Ngor, Dakar, Sénégal"
61,3,2,600,"Saly, Sénégal"
62,8,5,210,"Parcelle Assainies, Dakar, Sénégal"
63,4,2,150,"Mbao, Dakar, Sénégal"
64,8,6,200,"Rufisque, Sénégal"
67,5,6,600,"Mbour, Sénégal"
68,7,5,200,"Dakar Plateau, Dakar, Sénégal"
69,7,6,200,"Yoff, Dakar, Sénégal"
70,10,3,300,"Mbao, Dakar, Sénégal"
71,7,5,241,"Guediawaye, Dakar, Sénégal"
73,16,9,150,"Keur Massar, Sénégal"
77,13,7,192,"Ouakam, Dakar, Sénégal"
78,2,2,150,"Ngor, Dakar, Sénégal"
79,4,3,400,"Mbour, Sénégal"
80,4,3,400,"Mbour, Sénégal"
82,4,2,247,"Guediawaye, Dakar, Sénégal"
83,7,1,250,"Guediawaye, Dakar, Sénégal"
84,3,3,150,"Dakar, Sénégal"
88,9,7,159,"Keur Massar, Sénégal"
90,5,4,250,"Keur Massar, Sénégal"
91,4,2,150,"Hann Bel-Air, Dakar, Sénégal"
92,5,2,225,"Dakar, Sénégal"
93,6,3,150,"Rufisque, Sénégal"
94,4,1,150,"Pikine, Sénégal"
98,9,7,600,"Ouakam, Dakar, Sénégal"
102,11,9,400,"Almadies, Dakar, Sénégal"
103,5,2,500,"Mbour, Sénégal"
104,4,3,900,"Mbour, Sénégal"
106,6,1,175,"Mbao, Dakar, Sénégal"
107,9,7,300,"Almadies, Dakar, Sénégal"
109,8,8,500,"M'bour, Sénégal"
112,3,4,400,"Mbour, Sénégal"
113,8,5,150,"Rufisque, Sénégal"
116,4,2,150,"Rufisque, Sénégal"
117,12,11,306,"Almadies, Dakar, Sénégal"
118,4,3,178,"Rufisque, Sénégal"
119,4,2,150,"Rufisque, Sénégal"
120,10,4,150,"Parcelle Assainies, Dakar, Sénégal"
123,6,4,200,"Dakar, Sénégal"
124,5,2,150,"Dieuppeul-Derklé, Dakar, Sénégal"
125,6,3,200,"Dakar, Sénégal"
126,4,4,25,"Touba, Sénégal"
129,9,7,600,"Mamelles, Dakar, Sénégal"
130,5,5,150,"Keur Massar, Sénégal"
131,6,4,5000,"Saly, Sénégal"
132,8,3,225,"Dakar, Sénégal"
133,4,4,500,"Ziguinchor, Sénégal"
134,4,2,150,"Dakar, Sénégal"
138,4,2,3000,"Sicap Liberté, Dakar, Sénégal"
139,7,3,600,"Saly, Sénégal"
140,4,2,150,"Rufisque, Sénégal"
141,5,6,600,"Dakar, Sénégal"
142,5,2,847,"Hann Bel-Air, Dakar, Sénégal"
145,9,7,386,"Mermoz-Sacré Coeur, Dakar, Sénégal"
146,5,3,550,"Mbour, Sénégal"
148,4,3,180,"Ouakam, Dakar, Sénégal"
149,14,8,292,"Saly, Sénégal"
150,3,3,200,"Dakar, Sénégal"
153,5,3,200,"Dakar, Sénégal"
156,3,2,300,"Mbour, Sénégal"
157,5,3,150,"Rufisque, Sénégal"
158,4,1,153,"Keur Massar, Sénégal"
159,3,3,225,"Thies, Sénégal"
162,7,3,160,"Guediawaye, Dakar, Sénégal"
163,10,7,470,"Mermoz-Sacré Coeur, Dakar, Sénégal"
167,4,3,500,"Mbour, Sénégal"
168,7,2,150,"Geule Tapée, Dakar, Sénégal"
169,10,8,450,"Mermoz-Sacré Coeur, Dakar, Sénégal"
172,11,8,400,"Hann Bel-Air, Dakar, Sénégal"
173,9,4,150,"Parcelle Assainies, Dakar, Sénégal"
174,4,4,600,"Saly, Sénégal"
175,7,5,176,"Mermoz-Sacré Coeur, Dakar, Sénégal"
177,8,4,200,"Dakar, Sénégal"
178,7,7,200,"Mamelles, Dakar, Sénégal"
179,4,2,150,"Keur Massar, Sénégal"
180,3,7,600,"Mamelles, Dakar, Sénégal"
183,7,5,200,"Sicap Liberté, Dakar, Sénégal"
188,8,4,300,"Mbour, Sénégal"
189,4,3,150,"Mbao, Dakar, Sénégal"
190,7,8,150,"Mbao, Dakar, Sénégal"
191,4,3,150,"Keur Massar, Sénégal"
192,3,2,150,"Keur Massar, Sénégal"
194,10,4,180,"Hann Bel-Air, Dakar, Sénégal"
195,8,2,200,"Dakar, Sénégal"
196,7,4,535,"Saly, Sénégal"
197,4,4,600,"M'bour, Sénégal"
198,3,4,1000,"Mbour, Sénégal"
201,4,2,150,"Rufisque, Sénégal"
203,7,6,500,"Almadies, Dakar, Sénégal"
204,12,2,150,"Guediawaye, Dakar, Sénégal"
205,4,4,1350,"Saly, Sénégal"
206,4,4,600,"Saly, Sénégal"
207,3,3,350,"Dakar, Sénégal"
208,19,4,495,"Dakar, Sénégal"
211,6,6,250,"Almadies, Dakar, Sénégal"
212,9,6,250,"Sicap Liberté, Dakar, Sénégal"
213,4,4,180,"Dakar, Sénégal"
214,4,2,150,"Rufisque, Sénégal"
216,3,3,400,"Mbour, Sénégal"
221,8,4,200,"Rufisque, Sénégal"
223,4,3,150,"Rufisque, Sénégal"
226,4,3,170,"Thies, Sénégal"
227,10,4,180,"Parcelle Assainies, Dakar, Sénégal"
228,4,2,150,"Dakar, Sénégal"
229,7,7,1464,"HLM, Dakar, Sénégal"
230,3,3,500,"Mbour, Sénégal"
231,4,3,180,"Thies, Sénégal"
232,8,4,256,"Grand Yoff, Dakar, Sénégal"
234,5,3,400,"Almadies, Dakar, Sénégal"
236,5,2,180,"Keur Massar, Sénégal"
237,4,3,170,"Dakar, Sénégal"
239,4,3,150,"Dakar, Sénégal"
241,4,3,170,"Dakar, Sénégal"
242,11,2,600,"Diamniadio, Sénégal"
244,5,3,150,"Guediawaye, Dakar, Sénégal"
245,4,3,170,"Dakar, Sénégal"
246,6,6,450,"Ngor, Dakar, Sénégal"
248,5,6,241,"Mermoz-Sacré Coeur, Dakar, Sénégal"
249,8,4,180,"Sicap Liberté, Dakar, Sénégal"
251,7,6,200,"Mamelles, Dakar, Sénégal"
252,7,2,150,"Mbao, Dakar, Sénégal"
253,6,4,300,"Mbao, Dakar, Sénégal"
255,9,3,150,"Dakar, Sénégal"
258,6,5,400,"Mermoz-Sacré Coeur, Dakar, Sénégal"
260,5,1,150,"Keur Massar, Sénégal"
261,5,2,291,"Dakar, Sénégal"
262,5,4,211,"Almadies, Dakar, Sénégal"
263,8,3,150,"Mariste, Dakar, Sénégal"
264,5,2,500,"Saly, Sénégal"
265,3,4,500,"Saly, Sénégal"
266,6,5,459,"Mermoz-Sacré Coeur, Dakar, Sénégal"
267,4,3,200,"Dakar, Sénégal"
271,8,3,125,"Dakar, Sénégal"
272,4,2,150,"Keur Massar, Sénégal"
273,6,1,300,"Sicap Liberté, Dakar, Sénégal"
277,11,5,300,"Thies, Sénégal"
278,5,4,350,"Yoff, Dakar, Sénégal"
279,4,2,216,"Dakar, Sénégal"
280,4,2,150,"Parcelle Assainies, Dakar, Sénégal"
281,5,2,150,"Parcelle Assainies, Dakar, Sénégal"
282,6,4,1500,"Mbour, Sénégal"
288,4,3,180,"Mermoz-Sacré Coeur, Dakar, Sénégal"
289,11,5,1500,"Saly, Sénégal"
290,11,5,535,"Saly, Sénégal"
293,9,4,152,"Mbao, Dakar, Sénégal"
294,9,3,150,"Dakar, Sénégal"
295,7,4,200,"Mamelles, Dakar, Sénégal"
296,4,2,150,"Dakar, Sénégal"
299,4,1,150,"Dakar, Sénégal"
300,3,2,150,"Dakar, Sénégal"
303,3,3,600,"Saly, Sénégal"
304,6,2,150,"Mbao, Dakar, Sénégal"
305,4,2,150,"Keur Massar, Sénégal"
307,5,4,600,"Mbour, Sénégal"
310,4,2,400,"Saly, Sénégal"
311,4,1,160,"Keur Massar, Sénégal"
312,5,1,150,"Pikine, Sénégal"
314,4,2,150,"Dakar, Sénégal"
317,15,14,1000,"Almadies, Dakar, Sénégal"
318,3,3,300,"Saly, Sénégal"
319,4,2,300,"Mbour, Sénégal"
320,4,2,300,"Mbour, Sénégal"
321,5,5,150,"Almadies 2, Dakar, Sénégal"
322,10,6,654,"Almadies, Dakar, Sénégal"
