,supercie,prix,Addresse,image_lien
0,300 m2,1250000,Thies Sénégal,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
1,2000 m2,1000000000,Almadies Dakar,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
2,6000 ,45000,Ngaparou Sénégal,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
3,90 m2,3500000,Touba Sénégal,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
4,150 m2,3000000,Thies Sénégal,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
5,10000 ,250000,Mboro Sénégal,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
6,300 ,3000000,Mboro Sénégal,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
7,269 m2,156000000,Dakar Sénégal,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
8,150 ,11000000,Keur Massar Sénégal,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
9,150 ,2000000,Grand Yoff Dakar,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
10,150 ,2000000,Grand Yoff Dakar,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
11,189 ,75000000,Almadies Dakar,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
12,150 ,5500000,Mariste Dakar,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
13,150 ,11000000,Mariste Dakar,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
14,150 ,5500000,Mariste Dakar,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
15,150 ,3500000,Mariste Dakar,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
16,300 m2,10000000,Thies Sénégal,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
17,277 ,125000000,Sicap Liberté Dakar,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
18,1775 ,1000000,Almadies Dakar,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
19,950 ,55000000,Fatick Sénégal,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
20,300 m2,35000000,Dakar Sénégal,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
21,227 ,7500000,Rufisque Sénégal,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
22,200 m2,130000000,Sicap foire Dakar,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
23,345 m2,15000000,Mbour Sénégal,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
24,225 m2,19000000,Pikine Sénégal,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
25,200 ,90000000,Almadies Dakar,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
26,130000 m2,35000,Dakar Sénégal,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
27,150 m2,3500000,Dakar Sénégal,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
28,300 ,160000000,Mariste Dakar,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
29,269 m2,157000000,Dakar Sénégal,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
30,269 m2,157000000,Mariste Dakar,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
31,212 ,20000000,Rufisque Sénégal,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
32,150 m2,75000000,Almadies Dakar,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
33,260 m2,75000000,Ouest Foire Dakar,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
34,150 ,6000000,Keur Massar Sénégal,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
35,150 ,1500000,Keur Massar Sénégal,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
36,150 ,7000000,Rufisque Sénégal,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
37,1511 ,1400000,Mermoz-Sacré Coeur Dakar,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
38,225 ,50000000,Guediawaye Dakar,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
39,328 ,150000000,Sicap Liberté Dakar,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
40,30000 m2,150000000,Ndiass Sénégal,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
41,3800 m2,180000000,Guéréo Sénégal,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
42,180 m2,1500000,Dakar Sénégal,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
43,150 m2,2500000,Guediawaye Dakar,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
44,200 ,105000000,Mamelles Dakar,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
45,713 ,55000000,Saly Sénégal,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
46,225 m2,2500000,Ndiass Sénégal,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
47,150 ,19300000,Mbao Dakar,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
48,160 ,8000000,Thies Sénégal,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
49,327 ,160000000,Dakar Sénégal,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
50,150 m2,3000000,Thies Sénégal,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
51,4000 ,2000000000,Ngor Dakar,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
52,456 m2,420000000,Medina Dakar,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
53,150 ,7000000,Dakar Sénégal,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
54,456 m2,420000000,Medina Dakar,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
55,150 m2,3500000,Niaga Sénégal,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
56,300 m2,4500000,Mbour Sénégal,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
57,200 ,80000000,Ouakam Dakar,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
58,5,28000000,Cambérène Dakar,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
59,500 ,4000000,Touba Sénégal,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
60,200 ,Prixsurdemande,Keur Massar Sénégal,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
61,200 m2,1500000,Ndiass Sénégal,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
62,440 m2,65000000,Keur Massar Sénégal,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
63,700 ,70000000,Niaga Sénégal,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
64,150 ,8500000,Rufisque Sénégal,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
65,150 m2,1500000,Ndiass Sénégal,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
66,225 m2,1800000,Ndiass Sénégal,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
67,150 ,3000000,Rufisque Sénégal,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
68,150 ,3900000,Rufisque Sénégal,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
69,150 m2,12500000,Dakar Sénégal,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
70,175 ,95000000,Mamelles Dakar,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
71,225 m2,2500000,Ndiass Sénégal,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
72,300 m2,5000000,Mbour Sénégal,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
73,150 ,4500000,Rufisque Sénégal,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
74,300 m2,8000000,Mbour Sénégal,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
75,300 m2,50000000,Mbao Dakar,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
76,150 m2,25000000,Mbao Dakar,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
77,150 ,6000000,Rufisque Sénégal,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
78,400 m2,6500000,Saint Louis Sénégal,https://images.coinafrique.com/thumb_3725755_uploaded_image1_1654287434.jpg
79,150 ,15000000,Rufisque Sénégal,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
80,280 m2,Prixsurdemande,Parcelle Assainies Dakar,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
81,600 m2,37000000,Saly Sénégal,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
82,3000 ,500000000,Cambérène Dakar,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
83,600 ,12000000,Ngaparou Sénégal,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
84,1000000 m2,21000,Dakar Sénégal,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
85,300 m2,4000000,Mboro Sénégal,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
86,160 ,67000000,Ouest Foire Dakar,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
87,150 m2,1000000,Dakar Sénégal,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
88,150 m2,2500000,Rufisque Sénégal,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
89,150 m2,3000000,Lac rose Sénégal,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
90,150 m2,30000000,Grand Dakar Dakar,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
91,350 ,12000000,Mboro Sénégal,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
92,200 ,12000000,Almadies 2 Dakar,https://images.coinafrique.com/thumb_3743326_uploaded_image1_1655291029.jpg
