web-scraper-order,web-scraper-start-url,villas_links,villas_links-href,Nombres_de_pieces,nbrdeb,superficie,addresse
"1707505850-1","https://sn.coinafrique.com/categorie/villas?page=50","Vente Villa meublée 3 Pièces 1000 m² - Ngaparou","https://sn.coinafrique.com/annonce/villas/vente-villa-meublee-3-pieces-1000-m-ngaparou-3401646","4","3","1000 m2","Thies, Sénégal"
"1707505855-2","https://sn.coinafrique.com/categorie/villas?page=50","Vente villa R+1 - Zac Mbao","https://sn.coinafrique.com/annonce/villas/vente-villa-r1-zac-mbao-3402445","7","3","170 m2","Mbao, Dakar, Sénégal"
"1707505858-3","https://sn.coinafrique.com/categorie/villas?page=50","Vente Villa - Mariste 2","https://sn.coinafrique.com/annonce/villas/vente-villa-mariste-2-3402510","8","3","130 m2","Hann Bel-Air, Dakar, Sénégal"
"1707505862-4","https://sn.coinafrique.com/categorie/villas?page=50","Vente Villa r+3 - Grand Dakar Rue 10","https://sn.coinafrique.com/annonce/villas/vente-villa-r3-grand-dakar-rue-10-3402609","14","4","160 m2","HLM, Dakar, Sénégal"
"1707505866-5","https://sn.coinafrique.com/categorie/villas?page=50","Location Villa 7 pièces - Mamelles","https://sn.coinafrique.com/annonce/villas/location-villa-7-pieces-mamelles-3402689","4","4","150","Mamelles, Dakar, Sénégal"
"1707505868-6","https://sn.coinafrique.com/categorie/villas?page=50","Vente Villa inachevée 15 pièces - Yoff","https://sn.coinafrique.com/annonce/villas/vente-villa-inachevee-15-pieces-yoff-3404542","15","4","130","Yoff, Dakar, Sénégal"
"1707505872-7","https://sn.coinafrique.com/categorie/villas?page=50","Vente Villa 9 pièces - Mbao","https://sn.coinafrique.com/annonce/villas/vente-villa-9-pieces-mbao-3404627","9","5","150","Mbao, Dakar, Sénégal"
"1707505880-8","https://sn.coinafrique.com/categorie/villas?page=50","Location Villa 5 pièces - Mbour","https://sn.coinafrique.com/annonce/villas/location-villa-5-pieces-mbour-3405214","5","2","300","Mbour, Sénégal"
"1707505886-9","https://sn.coinafrique.com/categorie/villas?page=50","Vente Villa 193 m² - Cité la Lingère de Keur Massar","https://sn.coinafrique.com/annonce/villas/vente-villa-193-m-cite-la-lingere-de-keur-massar-3405651","4","2","193 m2","Dakar, Sénégal"
"1707505893-10","https://sn.coinafrique.com/categorie/villas?page=50","Vente Villa basse 4 pièces - Grand Mbao Cité Sidak","https://sn.coinafrique.com/annonce/villas/vente-villa-basse-4-pieces-grand-mbao-cite-sidak-3406272","4","192","","Rufisque, Sénégal"
"1707505900-11","https://sn.coinafrique.com/categorie/villas?page=50","Vente Villa 4 pièces - Rufisque","https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-rufisque-3406500","4","2","150","Rufisque, Sénégal"
"1707505911-12","https://sn.coinafrique.com/categorie/villas?page=50","Vente villa 10 pièces - Rufisque","https://sn.coinafrique.com/annonce/villas/vente-villa-10-pieces-rufisque-3406722","10","5","350","Rufisque, Sénégal"
"1707505917-13","https://sn.coinafrique.com/categorie/villas?page=50","Location Villa 7 pièces - Mamelles","https://sn.coinafrique.com/annonce/villas/location-villa-7-pieces-mamelles-3406829","7","4","","Mamelles, Dakar, Sénégal"
"1707505927-14","https://sn.coinafrique.com/categorie/villas?page=50","Vente Villa 9 pièces - Rufisque","https://sn.coinafrique.com/annonce/villas/vente-villa-9-pieces-rufisque-3407404","9","","","Rufisque, Sénégal"
"1707505939-15","https://sn.coinafrique.com/categorie/villas?page=50","Location Villa 6 pièces - Mermoz Sacré Coeur","https://sn.coinafrique.com/annonce/villas/location-villa-6-pieces-mermoz-sacre-coeur-3370565","6","7","500","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1707505943-16","https://sn.coinafrique.com/categorie/villas?page=50","Vente Villa - Kounoune","https://sn.coinafrique.com/annonce/villas/vente-villa-kounoune-3407560","4","2","150 m2","Dakar, Sénégal"
"1707505947-17","https://sn.coinafrique.com/categorie/villas?page=50","Location villa R+3 4 pièces - Ouakam","https://sn.coinafrique.com/annonce/villas/location-villa-r3-4-pieces-ouakam-3358203","9","","","Ouakam, Dakar, Sénégal"
"1707505951-18","https://sn.coinafrique.com/categorie/villas?page=50","Vente Villa r+1 - HLM Grand Médine","https://sn.coinafrique.com/annonce/villas/vente-villa-r1-hlm-grand-medine-3409882","5","3","122 m2","Sicap-Liberté, Dakar, Sénégal"
"1707505956-19","https://sn.coinafrique.com/categorie/villas?page=50","Location Villa basse 4 Pièces - Almadies 2 de Rufisque","https://sn.coinafrique.com/annonce/villas/location-villa-basse-4-pieces-almadies-2-de-rufisque-3410585","4","1","150 m2","Keur Massar, Sénégal"
"1707505961-20","https://sn.coinafrique.com/categorie/villas?page=50","Location villa 3 pièces - Ngor","https://sn.coinafrique.com/annonce/villas/location-villa-3-pieces-ngor-3359375","3","3","","Ngor, Dakar, Sénégal"
"1707505967-21","https://sn.coinafrique.com/categorie/villas?page=50","Vente villa - Dakar","https://sn.coinafrique.com/annonce/villas/vente-villa-dakar-3410883","25","10","1000 m2","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1707505971-22","https://sn.coinafrique.com/categorie/villas?page=50","Location Villa 6 pièces - Dakar","https://sn.coinafrique.com/annonce/villas/location-villa-6-pieces-dakar-3411731","6","5","400","Dakar, Sénégal"
"1707505978-23","https://sn.coinafrique.com/categorie/villas?page=50","Vente Villa 6 pièces - Rufisque","https://sn.coinafrique.com/annonce/villas/vente-villa-6-pieces-rufisque-3412628","6","4","150","Rufisque, Sénégal"
"1707505982-24","https://sn.coinafrique.com/categorie/villas?page=50","Location Villa 4 pièces - Mamelles","https://sn.coinafrique.com/annonce/villas/location-villa-4-pieces-mamelles-3412708","4","5","200","Mamelles, Dakar, Sénégal"
"1707505987-25","https://sn.coinafrique.com/categorie/villas?page=50","Location Villa - Sicap Liberté","https://sn.coinafrique.com/annonce/villas/location-villa-sicap-liberte-3412766","150","","","Sicap Liberté, Dakar, Sénégal"
"1707505991-26","https://sn.coinafrique.com/categorie/villas?page=50","Vente Villa - Cité Socabec Tivaoune Peulh","https://sn.coinafrique.com/annonce/villas/vente-villa-cite-socabec-tivaoune-peulh-3412867","150 m2","","","Keur Massar, Sénégal"
"1707505996-27","https://sn.coinafrique.com/categorie/villas?page=50","Vente villas 7 pièces - Point-E","https://sn.coinafrique.com/annonce/villas/vente-villas-7-pieces-point-e-3365558","7","5","519","Point E, Dakar, Sénégal"
"1707506001-28","https://sn.coinafrique.com/categorie/villas?page=50","Vente villa 600 m2","https://sn.coinafrique.com/annonce/villas/vente-villa-600-m2-3413760","5","6","600 m2","Mbour, Sénégal"
"1707506004-29","https://sn.coinafrique.com/categorie/villas?page=50","Vente villa 180 m2 - Hamo 6","https://sn.coinafrique.com/annonce/villas/vente-villa-180-m2-hamo-6-3413763","180 m2","","","Dakar, Sénégal"
"1707506008-30","https://sn.coinafrique.com/categorie/villas?page=50","Location villa 4 pièces - Almadies","https://sn.coinafrique.com/annonce/villas/location-villa-4-pieces-almadies-3367336","4","4","","Almadies, Dakar, Sénégal"
"1707506013-31","https://sn.coinafrique.com/categorie/villas?page=50","Vente villa 250 m2 - Almadies","https://sn.coinafrique.com/annonce/villas/vente-villa-250-m2-almadies-3414043","8","8","250 m2","Dakar, Sénégal"
"1707506017-32","https://sn.coinafrique.com/categorie/villas?page=50","Vente villa 4 pièces - Touba","https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-touba-3414144","","","","Touba, Sénégal"
"1707506021-33","https://sn.coinafrique.com/categorie/villas?page=50","Vente villas 6 pièces - Almadies","https://sn.coinafrique.com/annonce/villas/vente-villas-6-pieces-almadies-3414485","6","6","257","Almadies, Dakar, Sénégal"
"1707506025-34","https://sn.coinafrique.com/categorie/villas?page=50","Location Villa 11 pièces - Cité Keur Gorgui","https://sn.coinafrique.com/annonce/villas/location-villa-11-pieces-cite-keur-gorgui-3415369","11","","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1707506030-35","https://sn.coinafrique.com/categorie/villas?page=50","Vente villa R+1 - Parcelles Assainies","https://sn.coinafrique.com/annonce/villas/vente-villa-r1-parcelles-assainies-3369016","160 m2","","","Parcelle Assainies, Dakar, Sénégal"
"1707506034-36","https://sn.coinafrique.com/categorie/villas?page=50","Vente villa R+1 - Mariste","https://sn.coinafrique.com/annonce/villas/vente-villa-r1-mariste-3369078","","","","Point E, Dakar, Sénégal"
"1707506042-37","https://sn.coinafrique.com/categorie/villas?page=50","Location Villa basse 3 pièces - Sicap Liberté","https://sn.coinafrique.com/annonce/villas/location-villa-basse-3-pieces-sicap-liberte-3416231","3","4","200","Sicap Liberté, Dakar, Sénégal"
"1707506047-38","https://sn.coinafrique.com/categorie/villas?page=50","Vente villa 6 pièces - Ngor Almadies","https://sn.coinafrique.com/annonce/villas/vente-villa-6-pieces-ngor-almadies-3369308","","","","Ngor, Dakar, Sénégal"
"1707506053-39","https://sn.coinafrique.com/categorie/villas?page=50","Location villa meublée 4 pièces - Saly","https://sn.coinafrique.com/annonce/villas/location-villa-meublee-4-pieces-saly-3369375","","","","Saly, Sénégal"
"1707506058-40","https://sn.coinafrique.com/categorie/villas?page=50","Vente Villa duplex 4 pièces - Ngaparou","https://sn.coinafrique.com/annonce/villas/vente-villa-duplex-4-pieces-ngaparou-3416430","5","4","600","Mbour, Sénégal"
"1707506064-41","https://sn.coinafrique.com/categorie/villas?page=50","Vente Villa 6 pièces - Toubab Dialao","https://sn.coinafrique.com/annonce/villas/vente-villa-6-pieces-toubab-dialao-3416460","12","5","800","Toubab Dialao, Sénégal"
"1707506069-42","https://sn.coinafrique.com/categorie/villas?page=50","Vente Villa 460 m² - Saly Musée","https://sn.coinafrique.com/annonce/villas/vente-villa-460-m-saly-musee-3416956","5","3","460 m2","Saly, Sénégal"
"1707506073-43","https://sn.coinafrique.com/categorie/villas?page=50","Location Villa 4 pièces - Sicap Liberté 6 Extension","https://sn.coinafrique.com/annonce/villas/location-villa-4-pieces-sicap-liberte-6-extension-3417017","4","3","150","Sicap Liberté, Dakar, Sénégal"
"1707506076-44","https://sn.coinafrique.com/categorie/villas?page=50","Vente Villa 10 Pièces - Diamalaye","https://sn.coinafrique.com/annonce/villas/vente-villa-10-pieces-diamalaye-3417466","7","3","150 m2","Yoff, Dakar, Sénégal"
"1707506080-45","https://sn.coinafrique.com/categorie/villas?page=50","Vente villa 4 pièces - Mbao","https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-mbao-3418134","4","2","150","Mbao, Dakar, Sénégal"
"1707506084-46","https://sn.coinafrique.com/categorie/villas?page=50","Vente villa inachevée   - Thies","https://sn.coinafrique.com/annonce/villas/vente-villa-inachevee-thies-3418377","350","","","Thies, Sénégal"
"1707506088-47","https://sn.coinafrique.com/categorie/villas?page=50","Vente villa 8 pièces - Dakar Hlm Hann Mariste","https://sn.coinafrique.com/annonce/villas/vente-villa-8-pieces-dakar-hlm-hann-mariste-3418431","8","3","223","Dakar, Sénégal"
"1707506094-48","https://sn.coinafrique.com/categorie/villas?page=50","Vente Villa r+3 - Grand Dakar Rue 10","https://sn.coinafrique.com/annonce/villas/vente-villa-r3-grand-dakar-rue-10-3418604","14","4","150 m2","Grand Dakar, Dakar, Sénégal"
"1707506099-49","https://sn.coinafrique.com/categorie/villas?page=50","Location villa 4 pièces - Sicap Liberté","https://sn.coinafrique.com/annonce/villas/location-villa-4-pieces-sicap-liberte-3418806","4","3","200","Sicap Liberté, Dakar, Sénégal"
"1707506109-50","https://sn.coinafrique.com/categorie/villas?page=50","Vente Villa 4 pièces - Dakar","https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-dakar-3419008","4","3","150","Dakar, Sénégal"
"1707506118-51","https://sn.coinafrique.com/categorie/villas?page=50","Vente Villa inachevée - Cité Linguëre Jaxaay","https://sn.coinafrique.com/annonce/villas/vente-villa-inachevee-cite-linguere-jaxaay-3419020","4","2","183 m2","Dakar, Sénégal"
"1707506123-52","https://sn.coinafrique.com/categorie/villas?page=50","Vente villa 6 pièces - Zac Mbao","https://sn.coinafrique.com/annonce/villas/vente-villa-6-pieces-zac-mbao-3419574","150 m2","","","Dakar, Sénégal"
"1707506127-53","https://sn.coinafrique.com/categorie/villas?page=50","Vente villa 6 pièces - Scat Urbam","https://sn.coinafrique.com/annonce/villas/vente-villa-6-pieces-scat-urbam-3420050","150 m2","","","Dakar, Sénégal"
"1707506131-54","https://sn.coinafrique.com/categorie/villas?page=50","Vente villa 5 pièces - Dakar","https://sn.coinafrique.com/annonce/villas/vente-villa-5-pieces-dakar-3420144","5","2","150","Dakar, Sénégal"
"1707506135-55","https://sn.coinafrique.com/categorie/villas?page=50","Vente villa R+3 - Cité Tellyium","https://sn.coinafrique.com/annonce/villas/vente-villa-r3-cite-tellyium-3420147","8","6","200 m2","Dakar-Plateau, Dakar, Sénégal"
"1707506139-56","https://sn.coinafrique.com/categorie/villas?page=50","Vente Villa 2 pièces - Comico Bambilor","https://sn.coinafrique.com/annonce/villas/vente-villa-2-pieces-comico-bambilor-3420753","2","1","150","Rufisque, Sénégal"
"1707506145-57","https://sn.coinafrique.com/categorie/villas?page=50","Location Villa 5 pièces - Ouest Foire","https://sn.coinafrique.com/annonce/villas/location-villa-5-pieces-ouest-foire-3421300","5","5","","Ouest Foire, Dakar, Sénégal"
"1707506150-58","https://sn.coinafrique.com/categorie/villas?page=50","Vente villa 4 pièces - Front de terre","https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-front-de-terre-3421316","","","","Dakar, Sénégal"
"1707506155-59","https://sn.coinafrique.com/categorie/villas?page=50","Vente villa 4 pièces - Somone","https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-somone-3421339","4","4","300 m2","Saly, Sénégal"
"1707506159-60","https://sn.coinafrique.com/categorie/villas?page=50","Vente Villa - Diamagueune Sicap Mbao","https://sn.coinafrique.com/annonce/villas/vente-villa-diamagueune-sicap-mbao-3421368","180 m2","","","Mbao, Dakar, Sénégal"
"1707506165-61","https://sn.coinafrique.com/categorie/villas?page=50","Vente villa 4 pièces - Ngor","https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-ngor-3373489","4","4","300","Ngor, Dakar, Sénégal"
"1707506171-62","https://sn.coinafrique.com/categorie/villas?page=50","Vente Villa 4 pièces - Saly","https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-saly-3423103","3","2","600","Saly, Sénégal"
"1707506177-63","https://sn.coinafrique.com/categorie/villas?page=50","Vente Villa 8 pièces - Parcelle Assainies","https://sn.coinafrique.com/annonce/villas/vente-villa-8-pieces-parcelle-assainies-3423127","8","5","210","Parcelle Assainies, Dakar, Sénégal"
"1707506184-64","https://sn.coinafrique.com/categorie/villas?page=50","Vente villa  4 pièces - Keur Massar","https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-keur-massar-3423304","4","2","150 m2","Mbao, Dakar, Sénégal"
"1707506192-65","https://sn.coinafrique.com/categorie/villas?page=50","Vente villa  - Rufisque","https://sn.coinafrique.com/annonce/villas/vente-villa-rufisque-3423525","8","6","200 m2","Rufisque, Sénégal"
"1707506196-66","https://sn.coinafrique.com/categorie/villas?page=50","Vente Villa R+4 - Liberté 6","https://sn.coinafrique.com/annonce/villas/vente-villa-r4-liberte-6-3423783","175 m2","","","Dakar, Sénégal"
"1707506201-67","https://sn.coinafrique.com/categorie/villas?page=50","Vente villa 7 pièces  - Cité Keur Gorgui","https://sn.coinafrique.com/annonce/villas/vente-villa-7-pieces-cite-keur-gorgui-3375117","7","258","","Mermoz-Sacré Coeur, Dakar, Sénégal"
