web-scraper-order,web-scraper-start-url,articlelinks,articlelinks-href,superficie,prix,addresse,image_lien,image_lien-href
"1707657780-1","https://sn.coinafrique.com/categorie/terrains?page=50","Terrain 150 ha - Diamnadio","https://sn.coinafrique.com/annonce/terrains/terrain-150-ha-diamnadio-3694520","150 m2","Prix sur demande","Diamniadio, Sénégal","",""
"1707657782-2","https://sn.coinafrique.com/categorie/terrains?page=50","Terrain 400 ha - Diamnadio","https://sn.coinafrique.com/annonce/terrains/terrain-400-ha-diamnadio-3694548","40500 m2","1 822 500 000 CFA","Diamniadio, Sénégal","",""
"1707657785-3","https://sn.coinafrique.com/categorie/terrains?page=50","Terrain 150 m² - Yoff Hangar Des Pèlerins","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-yoff-hangar-des-pelerins-3653463","150","75 000 000 CFA","Yoff, Dakar, Sénégal","",""
"1707657788-4","https://sn.coinafrique.com/categorie/terrains?page=50","Vente terrains 3320 m2  - Mbao","https://sn.coinafrique.com/annonce/terrains/vente-terrains-3320-m2-mbao-3656704","3320","500 000 000 CFA","Mbao, Dakar, Sénégal","",""
"1707657791-5","https://sn.coinafrique.com/categorie/terrains?page=50","Terrain - Malicounda","https://sn.coinafrique.com/annonce/terrains/terrain-malicounda-3694832","300 m2","1 500 000 CFA","Rufisque, Sénégal","",""
"1707657794-6","https://sn.coinafrique.com/categorie/terrains?page=50","Vente Terrain - Somone","https://sn.coinafrique.com/annonce/terrains/vente-terrain-somone-3695199","1547 m2","90 000 000 CFA","Mbour, Sénégal","",""
"1707657797-7","https://sn.coinafrique.com/categorie/terrains?page=50","Terrain 600 m² - Toubab Dialao","https://sn.coinafrique.com/annonce/terrains/terrain-600-m-toubab-dialao-3695257","600","12 900 000 CFA","Toubab Dialao, Sénégal","",""
"1707657800-8","https://sn.coinafrique.com/categorie/terrains?page=50","Terrains 150 m2 - Rufisque","https://sn.coinafrique.com/annonce/terrains/terrains-150-m2-rufisque-3695956","150","20 000 000 CFA","Rufisque, Sénégal","",""
"1707657802-9","https://sn.coinafrique.com/categorie/terrains?page=50","Vente Terrain 1291m² -  Dakar","https://sn.coinafrique.com/annonce/terrains/vente-terrain-1291m-dakar-3696318","1291 m2","800 000 CFA","Sicap Liberté, Dakar, Sénégal","",""
"1707657805-10","https://sn.coinafrique.com/categorie/terrains?page=50","Vente Terrain 550m² - Bentegner","https://sn.coinafrique.com/annonce/terrains/vente-terrain-550m-bentegner-3696365","550 m2","8 000 000 CFA","Ndiass, Sénégal","",""
"1707657808-11","https://sn.coinafrique.com/categorie/terrains?page=50","Vente Terrain - Lac Rose","https://sn.coinafrique.com/annonce/terrains/vente-terrain-lac-rose-3696381","150 m2","5 000 000 CFA","Dakar, Sénégal","",""
"1707657810-12","https://sn.coinafrique.com/categorie/terrains?page=50","Vente Terrain - Lac Rose","https://sn.coinafrique.com/annonce/terrains/vente-terrain-lac-rose-3696387","150 m2","5 000 000 CFA","Dakar, Sénégal","",""
"1707657814-13","https://sn.coinafrique.com/categorie/terrains?page=50","Vente Terrain 150m² - Rufisque","https://sn.coinafrique.com/annonce/terrains/vente-terrain-150m-rufisque-3696488","150","4 500 000 CFA","Rufisque, Sénégal","",""
"1707657816-14","https://sn.coinafrique.com/categorie/terrains?page=50","Terrains 230 m2 - Almadies Dakar recasement 2","https://sn.coinafrique.com/annonce/terrains/terrains-230-m2-almadies-dakar-recasement-2-3697095","230 m2","90 000 000 CFA","Almadies, Dakar, Sénégal","",""
"1707657819-15","https://sn.coinafrique.com/categorie/terrains?page=50","Vente Terrain","https://sn.coinafrique.com/annonce/terrains/vente-terrain-3697127","150 m2","2 500 000 CFA","Guediawaye, Dakar, Sénégal","",""
"1707657823-16","https://sn.coinafrique.com/categorie/terrains?page=50","Vente Terrain 225m² - Ndiass","https://sn.coinafrique.com/annonce/terrains/vente-terrain-225m-ndiass-3697136","225","1 000 000 CFA","Ndiass, Sénégal","",""
"1707657826-17","https://sn.coinafrique.com/categorie/terrains?page=50","Vente Terrain 150m² - Tivaouane peulh","https://sn.coinafrique.com/annonce/terrains/vente-terrain-150m-tivaouane-peulh-3697309","150 m2","3 000 000 CFA","Keur Massar, Sénégal","",""
"1707657829-18","https://sn.coinafrique.com/categorie/terrains?page=50","Terrain - Thiès","https://sn.coinafrique.com/annonce/terrains/terrain-thies-3697325","300 m2","2 800 000 CFA","Dakar Plateau, Dakar, Sénégal","",""
"1707657832-19","https://sn.coinafrique.com/categorie/terrains?page=50","Vente Terrains 1700 m² - Yoff","https://sn.coinafrique.com/annonce/terrains/vente-terrains-1700-m-yoff-3659535","1700","1 700 000 000 CFA","Yoff, Dakar, Sénégal","",""
"1707657835-20","https://sn.coinafrique.com/categorie/terrains?page=50","Terrain 262 m² - Almadies","https://sn.coinafrique.com/annonce/terrains/terrain-262-m-almadies-3659554","262","135 000 000 CFA","Almadies, Dakar, Sénégal","",""
"1707657838-21","https://sn.coinafrique.com/categorie/terrains?page=50","Vente Terrains 150 m² - Lac Rose","https://sn.coinafrique.com/annonce/terrains/vente-terrains-150-m-lac-rose-3659621","150","9 000 000 CFA","Lac rose, Sénégal","",""
