,Nbrpieces,Nbr_salle_deB,superficie,addresse
0,2,2,50,"Fann, Dakar, Sénégal"
3,4,3,167,"Dakar, Sénégal"
6,5,5,311,"Almadies, Dakar, Sénégal"
7,4,5,180,"Ngor, Dakar, Sénégal"
8,3,3,150,"Fann, Dakar, Sénégal"
10,4,3,290,"Mermoz-Sacré Coeur, Dakar, Sénégal"
12,4,3,290,"Mermoz-Sacré Coeur, Dakar, Sénégal"
19,5,4,207,"Dakar, Sénégal"
23,2,2,67,"Sicap Liberté, Dakar, Sénégal"
24,4,4,224,"Dakar Plateau, Dakar, Sénégal"
25,5,4,180,"Sicap foire, Dakar, Sénégal"
26,7,3,150,"Sicap Liberté, Dakar, Sénégal"
27,4,4,249,"Dakar Plateau, Dakar, Sénégal"
30,1,1,100,"Sicap Liberté, Dakar, Sénégal"
31,4,3,214,"Mermoz-Sacré Coeur, Dakar, Sénégal"
32,4,4,243,"Fann, Dakar, Sénégal"
33,4,4,241,"Fann, Dakar, Sénégal"
34,4,4,234,"Mermoz-Sacré Coeur, Dakar, Sénégal"
37,2,2,65,"Mariste, Dakar, Sénégal"
39,3,2,200,"Rufisque, Sénégal"
40,3,3,200,"Mamelles, Dakar, Sénégal"
41,3,3,150,"Mamelles, Dakar, Sénégal"
42,4,4,180,"Yoff, Dakar, Sénégal"
47,3,3,150,"Saint Louis, Sénégal"
48,4,4,212,"Mermoz-Sacré Coeur, Dakar, Sénégal"
50,3,3,80,"Mariste, Dakar, Sénégal"
51,2,2,121,"Almadies, Dakar, Sénégal"
52,4,3,150,"Dakar, Sénégal"
56,5,4,180,"Sicap foire, Dakar, Sénégal"
59,4,5,200,"Mermoz-Sacré Coeur, Dakar, Sénégal"
61,4,5,249,"Mermoz-Sacré Coeur, Dakar, Sénégal"
65,4,3,180,"Fann, Dakar, Sénégal"
66,3,3,150,"Dakar, Sénégal"
75,5,4,100,"Mermoz-Sacré Coeur, Dakar, Sénégal"
76,3,3,100,"Mermoz-Sacré Coeur, Dakar, Sénégal"
77,2,2,100,"Ouest Foire, Dakar, Sénégal"
81,5,2,150,"Keur Massar, Sénégal"
85,2,1,150,"Mbao, Dakar, Sénégal"
86,3,2,150,"Almadies 2, Dakar, Sénégal"
87,3,4,216,"Point E, Dakar, Sénégal"
88,4,3,150,"Ouakam, Dakar, Sénégal"
89,3,2,81,"Mamelles, Dakar, Sénégal"
90,3,2,150,"Sicap foire, Dakar, Sénégal"
93,4,2,100,"Parcelle Assainies, Dakar, Sénégal"
95,4,2,130,"Almadies, Dakar, Sénégal"
96,2,3,100,"Almadies 2, Dakar, Sénégal"
101,3,2,150,"Mermoz-Sacré Coeur, Dakar, Sénégal"
102,4,4,150,"Point E, Dakar, Sénégal"
103,5,5,250,"Mamelles, Dakar, Sénégal"
104,5,5,230,"Yoff, Dakar, Sénégal"
109,4,4,200,"Mermoz-Sacré Coeur, Dakar, Sénégal"
111,3,3,120,"Yoff, Dakar, Sénégal"
112,3,3,125,"Point E, Dakar, Sénégal"
113,4,4,150,"Point E, Dakar, Sénégal"
114,3,2,140,"Mermoz-Sacré Coeur, Dakar, Sénégal"
119,4,3,160,"Mermoz-Sacré Coeur, Dakar, Sénégal"
120,4,4,250,"Point E, Dakar, Sénégal"
128,4,2,130,"Dakar, Sénégal"
131,5,4,229,"Almadies, Dakar, Sénégal"
